cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,pvnum,visitduration,accSubscribeNum,logdate
00000167E4306181000000026375706F795F72656C656173654355,彭彭老師_Python 入門教學 從初學到精通,00000167E493C02B000000086375706F795F72656C656173654349,4.Python 集合、字典的基本運算 - Set、Dictionary ,"['tech_tw', 'robot_tw']",['python'],B0310653,2,193,18,2019-07-01
00000168E4E001DA000000016375706F795F72656C656173654355, 李宏毅_機器學習基礎與應用,00000168E4F24C29000000026375706F795F72656C656173654349,ML Lecture 0-1：Introduction of  Machine Learning ,['empty'],['empty'],B0310653,1,6,23,2019-07-01
00000168FF4AF517000000036375706F795F72656C656173654355,林軒田_機器學習技法 Machine Learning Techniques,00000168FF601F18000000846375706F795F72656C656173654349,Large-Margin Separating Hyperplane ,"['tech_tw', 'robot_tw']",['機器學習'],B0310653,1,6,28,2019-07-01
0000016A61A250D6000000016375706F795F72656C656173654355,"企業大數據認證( Enterprise Big Data Certification, EBDC ) ",0000016BA77CB74A000000026375706F795F72656C656173654349,啤酒與尿布是傳奇典範，還是純粹的以訛傳訛？,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'management_tw', 'robot_tw']",['empty'],C4410729,1,51,28,2019-07-01
0000015B70A6BD8F000000036375706F795F72656C656173654355,b-crossTV平面設計頻道,00000166FF7E202A00000B246375706F795F72656C656173654349,創意決定一切 三個超有效創意點子 大揭秘！【b-crossTV平面設計頻道】feat  Koji Eyetalk 日本藥妝 雙眼皮膠,"['Hipster_tw', 'design_tw', 'graphic_design_tw']","['平面設計', '設計', '設計平台']",F4810138,1,1,48,2019-07-02
0000015C3B1ED81B0000000A6375706F795F72656C656173654355,啾啾鞋-啾讀,0000015C3B217A34000004206375706F795F72656C656173654349,這作者到底嗑了什麼? | 歡迎來到夜谷 Welcome to night vale,"['Reading_tw', 'ReadNovel_tw']","['書籍', '說書', '閱讀']",97210140,1,4,22,2019-07-02
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,000001690992D0BF0000FC326375706F795F72656C656173654349,瑪利歐兄弟與另一個巨大馬桶※神奇青蛙※Amazing Frog,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,1,19,10,2019-07-02
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,0000016970620715000193576375706F795F72656C656173654349,警察出動，但最後他還在...※【這個人是誰】Who is This Man ※潛入搜查遊戲,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,1,49,10,2019-07-02
0000015C8339F3F10000000B6375706F795F72656C656173654355,翔麟-Minecraft系列,000001697953F5D10001A17F6375706F795F72656C656173654349,用吸塵器抓鬼※MC小地圖※煩人的鬼怪 這些鬼也太可愛了,"['GamePlayer_tw', 'Game_tw', 'GameInformation_tw']","['Minecraft', '遊戲', '遊戲實況']",D1010139,2,45,10,2019-07-02
0000015D56127F76000000016375706F795F72656C656173654355,加點吉拿棒,0000015D56203214000000D76375706F795F72656C656173654349,秘密的坦格利安家人?! | 超粒方,"['GamePlayer_tw', 'Hipster_tw', 'life_tw', 'movie_tw']","['影視', '文化', '電影']",49910145,1,1,25,2019-07-02
0000015D56127F76000000016375706F795F72656C656173654355,加點吉拿棒,0000015D5620E077000000D86375706F795F72656C656173654349,《冰與火之歌》到底好看在哪裡?,"['GamePlayer_tw', 'Hipster_tw', 'life_tw', 'movie_tw']","['影視', '文化', '電影']",49910145,1,0,25,2019-07-02
00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,00000162AE61A7DE0000003D6375706F795F72656C656173654349,月光是種病藥方開給你.mp4,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1,14,36,2019-07-02
00000162BE7534B3000000086375706F795F72656C656173654355,區塊鏈的前世今生與未來,00000162BE75EA9C0000006C6375706F795F72656C656173654349,Blockchain 源起 1-1｜區塊鏈從何而來?,"['tech_tw', 'BlockChain_tw']","['blockchain', '區塊鏈', '杜宏毅']",B0310653,1,3,69,2019-07-02
000001658F0C5812000000016375706F795F70726572656C656173654355,莫煩_Python3 網頁爬蟲教學,000001658F95F05A000000026375706F795F70726572656C656173654349,#1 Why? ,"['tech_tw', 'robot_tw']","['AI人工智慧', 'Python', '爬蟲']",B0310653,1,21,57,2019-07-02
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD4C7863000000036375706F795F70726572656C656173654349,python基礎 1 安裝,"['tech_tw', 'robot_tw']",['python'],B0310653,1,4,85,2019-07-02
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD500096000000046375706F795F70726572656C656173654349,python基礎 2 print (),"['tech_tw', 'robot_tw']",['python'],B0310653,1,1,85,2019-07-02
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD5147E0000000056375706F795F70726572656C656173654349,python基礎 3 數學 ,"['tech_tw', 'robot_tw']",['python'],B0310653,1,2,85,2019-07-02
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD52377B000000066375706F795F70726572656C656173654349,python基礎 4 自變量 variable ,"['tech_tw', 'robot_tw']",['python'],B0310653,1,7,85,2019-07-02
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165AD53ED81000000076375706F795F70726572656C656173654349,python基礎 5 while循環 ,"['tech_tw', 'robot_tw']",['python'],B0310653,1,42,85,2019-07-02
00000165AD08BC70000000026375706F795F70726572656C656173654355,莫煩_Python3 基礎學 零基礎必修Python入門實作,00000165ADE8DEE9000000236375706F795F70726572656C656173654349,python基礎 33 Python tkinter 1 什麼是tkinter窗口 ,"['tech_tw', 'robot_tw']",['python'],B0310653,1,0,85,2019-07-02
000001661A14B2E2000000016375706F795F70726572656C656173654355,莫煩_有趣的機器學習 新手入門聖經,00000166399E4AE6000000156375706F795F70726572656C656173654349,什麼是強化學習? ,['empty'],['empty'],B0310653,1,1,34,2019-07-02
000001661A14B2E2000000016375706F795F70726572656C656173654355,莫煩_有趣的機器學習 新手入門聖經,0000016639A11F98000000166375706F795F70726572656C656173654349,強化學習方法彙總,['empty'],['empty'],B0310653,1,661,34,2019-07-02
00000166D3C9E54E000000016375706F795F70726572656C656173654355,莫煩_搭建我的神經網路 深度學習必學Tensorflow,000001685AE4EB70000000366375706F795F72656C656173654349,什麼是自編碼 Autoencoder (深度學習)? What is an Autoencoder in Neural Networks (deep learning)? ,"['tech_tw', 'robot_tw']","['Tensorflow', 'Transfer learning', '神經網路', '遷移學習']",B0310653,1,0,8,2019-07-02
