interestAffinityCategory,vistornum,sessionnum,logdate
Media & Entertainment/Music Lovers/Pop Music Fans,67,128,2019-06-27
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,32,58,2019-06-27
Media & Entertainment/Music Lovers/World Music Fans,65,124,2019-06-27
Media & Entertainment/TV Lovers,27,42,2019-06-27
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",15,24,2019-06-27
Media & Entertainment/TV Lovers/Sci-Fi & Fantasy TV Fans,10,17,2019-06-27
Media & Entertainment/TV Lovers/TV Drama Fans,20,33,2019-06-27
News & Politics/Avid News Readers,55,86,2019-06-27
News & Politics/Avid News Readers/Avid Business News Readers,38,60,2019-06-27
News & Politics/Avid News Readers/Avid Political News Readers,73,119,2019-06-27
News & Politics/Avid News Readers/Entertainment News Enthusiasts,35,54,2019-06-27
Shoppers/Bargain Hunters,17,18,2019-06-27
Shoppers/Luxury Shoppers,106,172,2019-06-27
Shoppers/Shopaholics,46,71,2019-06-27
Shoppers/Shoppers by Store Type/Convenience Store Shoppers,24,44,2019-06-27
Shoppers/Shoppers by Store Type/Department Store Shoppers,51,73,2019-06-27
Shoppers/Value Shoppers,125,205,2019-06-27
Sports & Fitness/Health & Fitness Buffs,113,196,2019-06-27
Sports & Fitness/Sports Fans,91,149,2019-06-27
Sports & Fitness/Sports Fans/Baseball Fans,23,38,2019-06-27
Sports & Fitness/Sports Fans/Basketball Fans,31,53,2019-06-27
Sports & Fitness/Sports Fans/Cycling Enthusiasts,10,17,2019-06-27
Technology/Mobile Enthusiasts,92,156,2019-06-27
Technology/Social Media Enthusiasts,13,28,2019-06-27
Technology/Technophiles,137,229,2019-06-27
Travel/Business Travelers,104,173,2019-06-27
Travel/Travel Buffs,55,86,2019-06-27
Travel/Travel Buffs/Beachbound Travelers,11,16,2019-06-27
Vehicles & Transportation/Auto Enthusiasts,47,71,2019-06-27
Banking & Finance/Avid Investors,65,93,2019-06-28
Beauty & Wellness/Beauty Mavens,30,38,2019-06-28
Beauty & Wellness/Frequently Visits Salons,86,128,2019-06-28
Food & Dining/Coffee Shop Regulars,65,104,2019-06-28
Food & Dining/Cooking Enthusiasts,47,66,2019-06-28
Food & Dining/Cooking Enthusiasts/30 Minute Chefs,37,54,2019-06-28
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,28,40,2019-06-28
Food & Dining/Fast Food Cravers,72,95,2019-06-28
Food & Dining/Foodies,60,76,2019-06-28
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,31,47,2019-06-28
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,75,111,2019-06-28
Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,83,123,2019-06-28
Home & Garden/Do-It-Yourselfers,80,119,2019-06-28
Home & Garden/Home Decor Enthusiasts,25,34,2019-06-28
Lifestyles & Hobbies/Art & Theater Aficionados,85,129,2019-06-28
Lifestyles & Hobbies/Business Professionals,115,164,2019-06-28
Lifestyles & Hobbies/Family-Focused,31,42,2019-06-28
Lifestyles & Hobbies/Fashionistas,54,70,2019-06-28
Lifestyles & Hobbies/Frequently Attends Live Events,59,86,2019-06-28
Lifestyles & Hobbies/Green Living Enthusiasts,95,141,2019-06-28
Lifestyles & Hobbies/Nightlife Enthusiasts,74,111,2019-06-28
Lifestyles & Hobbies/Outdoor Enthusiasts,74,111,2019-06-28
Lifestyles & Hobbies/Pet Lovers,34,43,2019-06-28
Lifestyles & Hobbies/Shutterbugs,87,133,2019-06-28
Lifestyles & Hobbies/Thrill Seekers,38,56,2019-06-28
Media & Entertainment/Book Lovers,39,53,2019-06-28
Media & Entertainment/Comics & Animation Fans,83,112,2019-06-28
Media & Entertainment/Gamers,67,95,2019-06-28
Media & Entertainment/Gamers/Action Game Fans,30,43,2019-06-28
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,38,53,2019-06-28
Media & Entertainment/Gamers/Casual & Social Gamers,23,34,2019-06-28
Media & Entertainment/Gamers/Hardcore Gamers,52,72,2019-06-28
Media & Entertainment/Gamers/Roleplaying Game Fans,38,50,2019-06-28
Media & Entertainment/Gamers/Shooter Game Fans,14,20,2019-06-28
Media & Entertainment/Light TV Viewers,86,130,2019-06-28
Media & Entertainment/Movie Lovers,120,174,2019-06-28
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,29,44,2019-06-28
Media & Entertainment/Movie Lovers/Family Movie Fans,14,20,2019-06-28
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,14,21,2019-06-28
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,27,38,2019-06-28
Media & Entertainment/Music Lovers,119,174,2019-06-28
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,12,17,2019-06-28
Media & Entertainment/Music Lovers/Electronic Dance Music Fans,12,17,2019-06-28
Media & Entertainment/Music Lovers/Pop Music Fans,53,73,2019-06-28
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,28,38,2019-06-28
Media & Entertainment/Music Lovers/World Music Fans,52,73,2019-06-28
Media & Entertainment/TV Lovers,23,30,2019-06-28
"Media & Entertainment/TV Lovers/Game, Reality & Talk Show Fans",17,23,2019-06-28
Media & Entertainment/TV Lovers/TV Drama Fans,18,24,2019-06-28
News & Politics/Avid News Readers,60,89,2019-06-28
News & Politics/Avid News Readers/Avid Business News Readers,39,58,2019-06-28
News & Politics/Avid News Readers/Avid Political News Readers,83,124,2019-06-28
News & Politics/Avid News Readers/Entertainment News Enthusiasts,34,50,2019-06-28
Shoppers/Bargain Hunters,25,30,2019-06-28
