interestInMarketCategory,vistornum,sessionnum,logdate
Software/Design Software/Photo Software,34,71,2019-07-29
Software/Video Software,14,37,2019-07-29
Telecom/Internet Service Providers,13,24,2019-07-29
Telecom/Mobile Phone Service Providers,14,24,2019-07-29
Travel/Air Travel,57,98,2019-07-29
Travel/Bus & Rail Travel,30,66,2019-07-29
Travel/Car Rental,12,28,2019-07-29
Travel/Hotels & Accommodations,39,73,2019-07-29
Travel/Trips by Destination/Trips to Asia-Pacific,58,105,2019-07-29
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,14,19,2019-07-29
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,25,47,2019-07-29
Travel/Vacation Packages,10,20,2019-07-29
Apparel & Accessories,18,31,2019-07-30
Autos & Vehicles/Motor Vehicles,26,29,2019-07-30
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,19,32,2019-07-30
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,18,31,2019-07-30
Business Services,31,63,2019-07-30
Business Services/Advertising & Marketing Services,101,184,2019-07-30
Business Services/Business Financial Services,16,34,2019-07-30
Business Services/Business Technology,16,33,2019-07-30
Business Services/Business Technology/Enterprise Software,62,127,2019-07-30
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,17,29,2019-07-30
Business Services/Business Technology/Network Systems & Services,23,42,2019-07-30
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,23,44,2019-07-30
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,15,29,2019-07-30
Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,14,27,2019-07-30
Business Services/Business Technology/Web Services/Web Design & Development,47,85,2019-07-30
Business Services/Business Technology/Web Services/Web Hosting,20,30,2019-07-30
Business Services/Payment Processing & Merchant Services,14,20,2019-07-30
Computers & Peripherals/Computer Accessories & Components,66,108,2019-07-30
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,26,49,2019-07-30
Computers & Peripherals/Computers,14,32,2019-07-30
Computers & Peripherals/Computers/Desktop Computers,11,17,2019-07-30
Computers & Peripherals/Computers/Laptops & Notebooks,34,62,2019-07-30
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,17,29,2019-07-30
Consumer Electronics/Game Consoles/Sony PlayStation,11,21,2019-07-30
Consumer Electronics/Mobile Phones,75,123,2019-07-30
Dating Services,23,43,2019-07-30
Education/Foreign Language Study,34,68,2019-07-30
Education/Post-Secondary Education,49,93,2019-07-30
Education/Post-Secondary Education/Technology Education,53,101,2019-07-30
Education/Primary & Secondary Schools (K-12),33,65,2019-07-30
Education/Test Preparation & Tutoring,25,42,2019-07-30
Employment,71,136,2019-07-30
Employment/Career Consulting Services,36,66,2019-07-30
Employment/Executive & Management Jobs,10,21,2019-07-30
Employment/IT & Technical Jobs,40,81,2019-07-30
Employment/Sales & Marketing Jobs,12,26,2019-07-30
Employment/Temporary & Seasonal Jobs,10,28,2019-07-30
Financial Services/Banking Services,28,43,2019-07-30
Financial Services/Credit & Lending/Credit Cards,16,23,2019-07-30
Financial Services/Investment Services,70,122,2019-07-30
Gifts & Occasions/Holiday Items & Decorations,16,29,2019-07-30
Real Estate/Residential Properties,32,56,2019-07-30
Software/Antivirus & Security Software,33,58,2019-07-30
Software/Audio & Music Software,14,26,2019-07-30
Software/Business & Productivity Software,95,184,2019-07-30
Software/Design Software/Drawing & Animation Software,39,78,2019-07-30
Software/Design Software/Photo Software,33,67,2019-07-30
Software/Video Software,16,39,2019-07-30
Sports & Fitness/Fitness Products & Services/Gyms & Athletic Clubs,10,17,2019-07-30
Telecom/Internet Service Providers,19,34,2019-07-30
Telecom/Mobile Phone Service Providers,13,25,2019-07-30
Travel/Air Travel,55,99,2019-07-30
Travel/Bus & Rail Travel,26,52,2019-07-30
Travel/Hotels & Accommodations,39,75,2019-07-30
Travel/Trips by Destination/Trips to Asia-Pacific,61,105,2019-07-30
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,13,22,2019-07-30
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,34,52,2019-07-30
Travel/Vacation Packages,12,20,2019-07-30
Apparel & Accessories,16,32,2019-07-31
Apparel & Accessories/Women's Apparel,11,13,2019-07-31
Autos & Vehicles/Motor Vehicles,21,25,2019-07-31
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,21,32,2019-07-31
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,16,22,2019-07-31
Beauty Products & Services,12,16,2019-07-31
Beauty Products & Services/Hair Care Products,13,14,2019-07-31
Beauty Products & Services/Makeup & Cosmetics,11,14,2019-07-31
Beauty Products & Services/Skin Care Products,11,15,2019-07-31
Business Services,27,45,2019-07-31
Business Services/Advertising & Marketing Services,93,139,2019-07-31
Business Services/Business Financial Services,11,16,2019-07-31
Business Services/Business Technology,11,23,2019-07-31
Business Services/Business Technology/Enterprise Software,66,106,2019-07-31
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,15,22,2019-07-31
Business Services/Business Technology/Network Systems & Services,20,29,2019-07-31
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,18,31,2019-07-31
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,13,20,2019-07-31
Business Services/Business Technology/Web Services/Web Design & Development,35,49,2019-07-31
Business Services/Business Technology/Web Services/Web Hosting,15,19,2019-07-31
Business Services/Payment Processing & Merchant Services,18,29,2019-07-31
Computers & Peripherals/Computer Accessories & Components,64,96,2019-07-31
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,12,18,2019-07-31
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,25,46,2019-07-31
Computers & Peripherals/Computers,12,15,2019-07-31
Computers & Peripherals/Computers/Desktop Computers,16,28,2019-07-31
Computers & Peripherals/Computers/Laptops & Notebooks,38,57,2019-07-31
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,19,33,2019-07-31
Consumer Electronics/Audio/Headphones & Headsets,10,11,2019-07-31
Consumer Electronics/Game Consoles/Sony PlayStation,11,18,2019-07-31
Consumer Electronics/Mobile Phone Accessories,13,24,2019-07-31
Consumer Electronics/Mobile Phones,77,117,2019-07-31
Dating Services,36,50,2019-07-31
Education/Foreign Language Study,29,47,2019-07-31
Education/Post-Secondary Education,47,77,2019-07-31
Education/Post-Secondary Education/Technology Education,47,77,2019-07-31
Education/Primary & Secondary Schools (K-12),36,54,2019-07-31
Education/Test Preparation & Tutoring,18,28,2019-07-31
Employment,61,98,2019-07-31
Employment/Career Consulting Services,29,48,2019-07-31
Employment/IT & Technical Jobs,34,63,2019-07-31
Financial Services/Banking Services,25,41,2019-07-31
Financial Services/Credit & Lending/Credit Cards,12,13,2019-07-31
Financial Services/Investment Services,64,95,2019-07-31
Gifts & Occasions/Holiday Items & Decorations,16,21,2019-07-31
Gifts & Occasions/Wedding Planning,12,23,2019-07-31
Home & Garden/Home Appliances,14,16,2019-07-31
Real Estate/Residential Properties,30,43,2019-07-31
Software/Antivirus & Security Software,26,37,2019-07-31
Software/Audio & Music Software,11,17,2019-07-31
Software/Business & Productivity Software,81,127,2019-07-31
Software/Design Software/Drawing & Animation Software,38,62,2019-07-31
Software/Design Software/Photo Software,32,48,2019-07-31
Software/Video Software,18,25,2019-07-31
Sports & Fitness/Fitness Products & Services/Fitness Classes & Personal Training Services,10,14,2019-07-31
Sports & Fitness/Fitness Products & Services/Gyms & Athletic Clubs,12,17,2019-07-31
Telecom/Internet Service Providers,17,24,2019-07-31
Telecom/Mobile Phone Service Providers,18,29,2019-07-31
Travel/Air Travel,56,81,2019-07-31
Travel/Bus & Rail Travel,32,44,2019-07-31
Travel/Car Rental,10,23,2019-07-31
Travel/Hotels & Accommodations,46,70,2019-07-31
Travel/Trips by Destination/Trips to Asia-Pacific,59,80,2019-07-31
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,11,13,2019-07-31
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,12,14,2019-07-31
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,24,32,2019-07-31
Apparel & Accessories,25,31,2019-08-01
Apparel & Accessories/Activewear,10,18,2019-08-01
Apparel & Accessories/Jewelry & Watches/Watches,12,19,2019-08-01
Apparel & Accessories/Shoes/Athletic Shoes,10,20,2019-08-01
Apparel & Accessories/Women's Apparel,13,20,2019-08-01
Autos & Vehicles/Auto Repair & Maintenance,10,15,2019-08-01
Autos & Vehicles/Motor Vehicles,35,46,2019-08-01
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW,30,47,2019-08-01
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda,15,19,2019-08-01
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Tesla Motors,31,45,2019-08-01
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Luxury Vehicles,10,16,2019-08-01
Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,10,15,2019-08-01
Autos & Vehicles/Vehicles (Other)/Bicycles & Accessories,10,14,2019-08-01
Beauty Products & Services,16,27,2019-08-01
Beauty Products & Services/Hair Care Products,21,26,2019-08-01
Beauty Products & Services/Makeup & Cosmetics,14,26,2019-08-01
Beauty Products & Services/Skin Care Products,13,19,2019-08-01
Business Services,36,69,2019-08-01
Business Services/Advertising & Marketing Services,141,227,2019-08-01
Business Services/Advertising & Marketing Services/SEO & SEM Services,16,31,2019-08-01
Business Services/Business Financial Services,14,24,2019-08-01
Business Services/Business Technology,26,42,2019-08-01
Business Services/Business Technology/Enterprise Software,82,149,2019-08-01
Business Services/Business Technology/Enterprise Software/Collaboration & Conferencing Tools,28,45,2019-08-01
Business Services/Business Technology/Enterprise Software/Helpdesk & Customer Support Solutions,12,23,2019-08-01
Business Services/Business Technology/Network Systems & Services,35,57,2019-08-01
Business Services/Business Technology/Network Systems & Services/Hosted Data & Cloud Storage,28,48,2019-08-01
Business Services/Business Technology/Network Systems & Services/Network & Enterprise Security,24,38,2019-08-01
Business Services/Business Technology/Network Systems & Services/Network Equipment & Virtualization,16,19,2019-08-01
Business Services/Business Technology/Network Systems & Services/Network Management,13,21,2019-08-01
Business Services/Business Technology/Web Services/Web Design & Development,62,101,2019-08-01
Business Services/Business Technology/Web Services/Web Hosting,27,49,2019-08-01
Business Services/Payment Processing & Merchant Services,35,55,2019-08-01
Computers & Peripherals/Computer Accessories & Components,99,144,2019-08-01
Computers & Peripherals/Computer Accessories & Components/Computer Monitors,15,21,2019-08-01
Computers & Peripherals/Computer Accessories & Components/Memory & Storage,37,56,2019-08-01
Computers & Peripherals/Computers,14,20,2019-08-01
Computers & Peripherals/Computers/Desktop Computers,26,37,2019-08-01
Computers & Peripherals/Computers/Laptops & Notebooks,56,87,2019-08-01
Computers & Peripherals/Computers/Tablets & Ultraportable Devices,34,50,2019-08-01
Consumer Electronics/Audio,11,11,2019-08-01
Consumer Electronics/Audio/Headphones & Headsets,15,15,2019-08-01
Consumer Electronics/Game Consoles/Nintendo Consoles,11,11,2019-08-01
Consumer Electronics/Game Consoles/Sony PlayStation,12,28,2019-08-01
Consumer Electronics/Mobile Phone Accessories,18,27,2019-08-01
Consumer Electronics/Mobile Phones,124,183,2019-08-01
Dating Services,50,74,2019-08-01
Education/Foreign Language Study,61,108,2019-08-01
Education/Post-Secondary Education,81,133,2019-08-01
Education/Post-Secondary Education/Business Education,12,20,2019-08-01
Education/Post-Secondary Education/Technology Education,87,142,2019-08-01
Education/Primary & Secondary Schools (K-12),56,102,2019-08-01
Education/Study Abroad Programs,13,21,2019-08-01
Education/Test Preparation & Tutoring,37,66,2019-08-01
Employment,119,200,2019-08-01
Employment/Accounting & Finance Jobs,12,24,2019-08-01
Employment/Career Consulting Services,53,95,2019-08-01
Employment/Executive & Management Jobs,13,29,2019-08-01
Employment/Government & Public Sector Jobs,10,12,2019-08-01
Employment/IT & Technical Jobs,56,89,2019-08-01
Employment/Resumes & Portfolios,14,35,2019-08-01
Employment/Sales & Marketing Jobs,18,42,2019-08-01
Employment/Temporary & Seasonal Jobs,12,26,2019-08-01
Financial Services/Banking Services,37,55,2019-08-01
Financial Services/Credit & Lending,12,27,2019-08-01
Financial Services/Credit & Lending/Credit Cards,19,32,2019-08-01
Financial Services/Insurance,10,20,2019-08-01
Financial Services/Investment Services,107,168,2019-08-01
Gifts & Occasions/Holiday Items & Decorations,39,60,2019-08-01
Gifts & Occasions/Wedding Planning,19,30,2019-08-01
Home & Garden/Home Appliances,15,23,2019-08-01
Home & Garden/Home Appliances/Small Appliances,11,19,2019-08-01
Real Estate/Residential Properties,52,81,2019-08-01
Software/Antivirus & Security Software,46,71,2019-08-01
Software/Audio & Music Software,18,27,2019-08-01
Software/Business & Productivity Software,125,201,2019-08-01
Software/Design Software,14,20,2019-08-01
Software/Design Software/Drawing & Animation Software,56,90,2019-08-01
Software/Design Software/Photo Software,49,76,2019-08-01
Software/Tax & Accounting Software,13,21,2019-08-01
Software/Video Software,33,49,2019-08-01
Sports & Fitness,15,15,2019-08-01
Sports & Fitness/Fitness Products & Services/Exercise Equipment,16,24,2019-08-01
Sports & Fitness/Fitness Products & Services/Gyms & Athletic Clubs,17,25,2019-08-01
Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment,13,25,2019-08-01
Sports & Fitness/Sporting Goods,11,15,2019-08-01
Telecom/Internet Service Providers,28,45,2019-08-01
Telecom/Mobile Phone Service Providers,20,32,2019-08-01
Travel/Air Travel,81,126,2019-08-01
Travel/Bus & Rail Travel,41,71,2019-08-01
Travel/Car Rental,15,28,2019-08-01
Travel/Hotels & Accommodations,60,96,2019-08-01
Travel/Trips by Destination/Trips to Asia-Pacific,97,146,2019-08-01
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China,14,18,2019-08-01
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan,20,27,2019-08-01
Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei,45,65,2019-08-01
Travel/Vacation Packages,16,21,2019-08-01
